template_name,template_string,ar,bg,de,el,es,fr,hi,ru,sw,th,tr,ur,vi,zh
super_glue - wsc.fixed - GPT-3 Style,"Passage: {e1} 

Question: In the passage above, does the pronoun ""{e2}"" refer to {e3}?

Answer: ||| {e4}{e5}{e6}","مرور: {e1}

سؤال: في المقطع أعلاه، هل نشير الضمير ""{e2}"" إلى {e3}؟

الجواب: ||| {e4} {e5} {e6}","Проход: {E1}

Въпрос: В пасажа по-горе, това ли е местоимението ""{E2}"" се отнася до {E3}?

Отговор: ||| {E4} {E5} {E6}","Passage: {E1}

Frage: In der obigen Passage bezieht sich das Pronomen ""{E2}"" in {E3}?

Antwort: |||. {E4} {E5} {E6}","Πέρασμα: {E1}

Ερώτηση: Στο παραπάνω από το πέρασμα, η αντωνυμία ""{e2}"" αναφέρεται στο {E3};

Απάντηση: ||| {E4} {E5} {E6}","Pasaje: {E1}

Pregunta: En el pasaje anterior, ¿el pronombre ""{E2}"" se refiere a {E3}?

Respuesta: ||| {E4} {E5} {E6}","Passage: {E1}

Question: Dans le passage ci-dessus, le pronom ""{e2}"" se réfère-t-il à {E3}?

Réponse: ||| {E4} {E5} {E6}","मार्ग: {e1}

प्रश्न: उपरोक्त पारित होने में, सर्वनाम ""{e2}"" {e3} का संदर्भ देता है?

उत्तर: ||| {e4} {e5} {e6}","Проход: {E1}

Вопрос: В приведенном выше прохождении местоимение «{E2}» обращается к {E3}?

Ответ: ||| {E4} {E5} {E6}","Passage: {e1}

Swali: Katika kifungu hapo juu, je, mtamshi ""{e2}"" rejea {e3}?

Jibu: || {e4} {e5} {e6}","เนื้อเรื่อง: {e1}

คำถาม: ในเนื้อเรื่องด้านบนคำสรรพนาม ""{e2}"" อ้างถึง {e3} หรือไม่

คำตอบ: ||| {e4} {e5} {e6}","Geçiş: {e1}

Soru: Yukarıdaki geçitte, ""{e2}"" zamirinin {E3}?

Cevap: ||| {e4} {e5} {e6}","پاسپورٹ: {E1}

سوال: اوپر گزرنے میں، pronoun ""{E2}"" {E3} کا حوالہ دیتے ہیں؟

جواب: ||| {E4} {e5} {e6}","Đoạn văn: {E1}

Câu hỏi: Trong đoạn văn trên, đại từ ""{E2}"" tham khảo {E3}?

Trả lời: |||. {e4} {e5} {e6}","通过：{e1}

问题：在上面的段落中，代词“{e2}”是指{e3}吗？

答案：||| {e4} {e5} {e6}"
super_glue - wsc.fixed - I think they mean,"{e1} I think they mean ""{e2}"" Yes or no? ||| {e3}{e4}{e5}","{e1} أعتقد أنها تعني ""{e2}"" نعم أم لا؟ ||| {e3} {e4} {e5}","{E1} Мисля, че те означават ""{e2}"" да или не? ||| {E3} {E4} {E5}","{E1} Ich denke, sie meinen ""{E2}"" ja oder nein? ||| {E3} {E4} {E5}","{E1} Νομίζω ότι σημαίνουν ""{e2}"" ναι ή όχι; ||| {E3} {E4} {E5}","{E1} Creo que significan ""{E2}"" ¡Sí o no? ||| {E3} {E4} {E5}","{E1} Je pense qu'ils signifient ""{e2}"" oui ou non? ||| {E3} {E4} {E5}","{e1} मुझे लगता है कि उनका मतलब है ""{e2}"" हाँ या नहीं? ||| {e3} {e4} {e5}","{E1} Я думаю, что они имеют в виду «{E2}» да или нет? ||| {E3} {E4} {E5}","{e1} Nadhani wanamaanisha ""{e2}"" ndiyo au hapana? |||. {e3} {e4} {e5}","{e1} ฉันคิดว่าพวกเขาหมายถึง ""{e2}"" ใช่หรือไม่? ||| {e3} {e4} {e5}","{e1} ""{e2}"" ya da hayır demek istiyorlar? ||| {e3} {e4} {e5}","{E1} مجھے لگتا ہے کہ ""{E2}"" ہاں یا نہیں؟ |||| {e3} {e4} {e5}","{E1} Tôi nghĩ rằng chúng có nghĩa là ""{E2}"" Có hay không? || {e3} {e4} {e5}",{e1}我认为他们的意思是“{e2}”是或否？ |||| {e3} {e4} {e5}
super_glue - wsc.fixed - Who or what is/are,"{e1} 
{e2}
Question: Who or what are ""{e3}""? {e4}?
{e5}
Question: Who or what is ""{e6}""? Is it {e7}?
{e8}
Answer: ||| {e9}{e10}{e11}","{e1}
{e2}
سؤال: من أو ما هي ""{e3}""؟ {e4}؟
{e5}
سؤال: من أو ما هو ""{E6}""؟ هل هو {e7}؟
{e8}
الجواب: ||| {e9} {e10} {E11}","{E1}
{E2}
Въпрос: Кой или какво са ""{E3}""? {E4}?
{E5}
Въпрос: Кой или какво е ""{E6}""? Ли е {e7}?
{E8}
Отговор: ||| {E9} {E10} {E11}","{E1}
{E2}
Frage: Wer oder was ist ""{E3}""? {E4}?
{E5}
Frage: Wer oder was ist ""{E6}""? Ist es {e7}?
{E8}
Antwort: |||. {E9} {E10} {E11}","{e1}
{e2}
Ερώτηση: Ποιος ή τι είναι ""{e3}""; {E4};
{e5}
Ερώτηση: Ποιος ή τι είναι ""{e6}""; Είναι {E7};
{e8}
Απάντηση: ||| {E9} {E10} {E11}","{e1}
{E2}
Pregunta: ¿Quién o qué son ""{E3}""? {E4}?
{E5}
Pregunta: ¿Quién o qué es ""{E6}""? Es {e7}?
{e8}
Respuesta: ||| {e9} {e10} {e11}","{e1}
{e2}
Question: Qui ou quels sont ""{e3}""? {E4}?
{e5}
Question: Qui ou quel est ""{E6}""? Est-ce {e7}?
{E8}
Réponse: ||| {E9} {E10} {E11}","{e1}
{e2}
प्रश्न: ""{e3}"" कौन या क्या हैं? {e4}?
{e5}
प्रश्न: ""{E6}"" कौन या क्या है? क्या यह {e7} है?
{e8}
उत्तर: ||| {E9} {E10} {E11}","{E1}
{e2}
Вопрос: Кто или какие ""{e3}""? {e4}?
{e5}
Вопрос: Кто или что такое ""{e6}""? Это {e7}?
{e8}
Ответ: ||| {E9} {E10} {E11}","{e1}
{e2}
Swali: Nani au ni nini ""{e3}""? {e4}?
{e5}
Swali: Nani au ni nini ""{e6}""? Je, ni {e7}?
{e8}
Jibu: || {e9} {e10} {e11}","{e1}
{e2}
คำถาม: ใครหรืออะไรคือ ""{e3}""? {e4}?
{e5}
คำถาม: ใครหรืออะไรคือ ""{e6}""? มันคือ {e7}?
{e8}
คำตอบ: ||| {e9} {e10} {e11}","{e1}
{e2}
Soru: ""{e3}"" kim ya da nelerdir? {e 4}?
{e5}
Soru: ""{e6}"" kim ya da nedir? {E7} mi?
{e8}
Cevap: ||| {e9} {e10} {e11}","{E1}
{e2}
سوال: کون یا کیا ""{e3}"" ہیں؟ {E4}؟
{e5}
سوال: کون یا کیا ہے ""{E6}""؟ کیا یہ {e7} ہے؟
{e8}
جواب: ||| {E9} {e10} {e11}","{e1}
{e2}
Câu hỏi: ""{E3}"" là ai? {e 4}?
{E5}
Câu hỏi: Ai hoặc ""{E6}"" là gì? Có phải {E7}?
{e8}
Trả lời: |||. {e9} {e10} {e11}","{e1}
{E2}
问题：谁或什么是“{e3}”？ {E4}？
{E5}
问题：谁或什么是“{e6}”？是{e7}？
{E8}
答案：||| {e9} {e10} {e11}"
super_glue - wsc.fixed - by p they mean,"{e1} Here, by ""{e2}"" they mean ""{e3}"". Yes or no? ||| {e4}{e5}{e6}","{e1} هنا، من خلال ""{e2}"" تعني ""{e3}"". نعم أو لا؟ ||| {e4} {e5} {e6}","{e1} тук, чрез ""{e2}"" те означават ""{e3}"". Да или не? ||| {E4} {E5} {E6}","{E1} Hier, von ""{E2}"" bedeuten sie ""{E3}"". Ja oder nein? ||| {E4} {E5} {E6}","{e1} εδώ, από το ""{e2}"" εννοούν ""{e3}"". Ναι ή όχι? ||| {E4} {E5} {E6}","{E1} Aquí, por ""{E2}"", significan ""{E3}"". ¿Sí o no? ||| {E4} {E5} {E6}","{E1} Ici, par ""{E2}"" Ils signifient ""{E3}"". Oui ou non? ||| {E4} {E5} {E6}","{e1} यहां, ""{e2}"" द्वारा उनका मतलब है ""{e3}""। हां या नहीं? ||| {e4} {e5} {e6}","{E1} здесь, «{E2}» они означают «{E3}». Да или нет? ||| {E4} {E5} {E6}","{e1} Hapa, kwa ""{e2}"" wanamaanisha ""{e3}"". Ndio au hapana? |||. {e4} {e5} {e6}","{e1} ที่นี่โดย ""{e2}"" พวกเขาหมายถึง ""{e3}"" ใช่หรือไม่? ||| {e4} {e5} {e6}","{e1} burada, ""{e2}"" ile ""{e3}"" anlamına gelir. Evet veya Hayır? ||| {e4} {e5} {e6}","{E1} یہاں، ""{E2}"" ان کا مطلب ہے ""{e3}"". ہاں یا نہیں؟ |||| {E4} {e5} {e6}","{E1} Ở đây, bởi ""{E2}"" Chúng có nghĩa là ""{E3}"". Có hay không? || {e4} {e5} {e6}",{E1}在这里，“{e2}”它们意味着“{e3}”。是还是不是？ |||| {e4} {e5} {e6}
super_glue - wsc.fixed - does p stand for,"{e1} Here, does ""{e2}"" stand for {e3}? Yes or no? ||| {e4}{e5}{e6}","{e1} هنا، هل ""{e2}"" يقف ل {e3}؟ نعم أو لا؟ ||| {e4} {e5} {e6}","{E1} тук, прави ""{e2}"" за {e3}? Да или не? ||| {E4} {E5} {E6}","{E1} Hier steht ""{E2}"" für {E3}? Ja oder nein? ||| {E4} {E5} {E6}","{E1} Εδώ, το ""{E2}"" σημαίνει {E3}; Ναι ή όχι? ||| {E4} {E5} {E6}","{E1} Aquí, hace ""{E2}"" Soporte para {E3}? ¿Sí o no? ||| {E4} {E5} {E6}","{E1} Ici, est-ce que ""{E2}"" signifie {E3}? Oui ou non? ||| {E4} {E5} {E6}","{e1} यहां, ""{e2}"" {e3} के लिए खड़ा है? हां या नहीं? ||| {e4} {e5} {e6}","{E1} здесь, делает «{E2}» для {e3}? Да или нет? ||| {E4} {E5} {E6}","{e1} Hapa, je, ""{e2}"" Simama kwa {e3}? Ndio au hapana? |||. {e4} {e5} {e6}","{e1} ที่นี่ ""{e2}"" หมายถึง {e3} หรือไม่ ใช่หรือไม่? ||| {e4} {e5} {e6}","{e1} Burada, {e3} için ""{E2}"" duruyor mu? Evet veya Hayır? ||| {e4} {e5} {e6}","{E1} یہاں، ""{E2}"" {e3} کے لئے موقف کرتا ہے؟ ہاں یا نہیں؟ |||| {E4} {e5} {e6}","{E1} Ở đây, có ngăn cản ""{E2}"" cho {E3} không? Có hay không? || {e4} {e5} {e6}",{e1}这里，'{e2}“代表{e3}？是还是不是？ |||| {e4} {e5} {e6}
super_glue - wsc.fixed - does the pronoun refer to,"{e1} In the previous sentence, does the pronoun ""{e2}"" refer to {e3}? Yes or no? ||| {e4}{e5}{e6}","{e1} في الجملة السابقة، هل يشير الضمير ""{e2}"" إلى {e3}؟ نعم أو لا؟ ||| {e4} {e5} {e6}","{E1} в предишното изречение, прави местоимението ""{e2}"" се отнася до {E3}? Да или не? ||| {E4} {E5} {E6}","{E1} In dem vorherigen Satz siehe das Pronomen ""{E2}"" in {E3}? Ja oder nein? ||| {E4} {E5} {E6}","{E1} Στην προηγούμενη πρόταση, η αντωνυμία ""{E2}"" αναφέρεται στο {E3}; Ναι ή όχι? ||| {E4} {E5} {E6}","{E1} En la oración anterior, ¿el pronombre ""{E2}"" se refiere a {E3}? ¿Sí o no? ||| {E4} {E5} {E6}","{E1} Dans la phrase précédente, le pronom ""{E2}"" se réfère-t-il à {E3}? Oui ou non? ||| {E4} {E5} {E6}","{e1} पिछले वाक्य में, सर्वनाम ""{E2}"" {E3} का संदर्भ देता है? हां या नहीं? ||| {e4} {e5} {e6}","{E1} В предыдущем предложении отображается местоимение «{E2}», см. {E3}? Да или нет? ||| {E4} {E5} {E6}","{e1} Katika hukumu ya awali, je, pronoun ""{e2}"" rejea {e3}? Ndio au hapana? |||. {e4} {e5} {e6}","{e1} ในประโยคก่อนหน้านี้สรรพนาม ""{e2}"" หมายถึง {e3} หรือไม่ ใช่หรือไม่? ||| {e4} {e5} {e6}","{e1} Önceki cümlede, ""{e2}"" zamirinin {e3}? Evet veya Hayır? ||| {e4} {e5} {e6}","{E1} پچھلا سزا میں، کیا pronoun ""{e2}"" {e3} کا حوالہ دیتے ہیں؟ ہاں یا نہیں؟ |||| {E4} {e5} {e6}","{E1} Trong câu trước, đại từ ""{E2}"" tham khảo {E3} không? Có hay không? || {e4} {e5} {e6}",{e1}在上一句话中，代词“{e2}”是指{e3}吗？是还是不是？ |||| {e4} {e5} {e6}
super_glue - wsc.fixed - in other words,"{e1} 

In other words, {e2} True or false? ||| {e3}{e4}{e5}","{e1}

بمعنى آخر، {e2} صحيح أم خطأ؟ ||| {e3} {e4} {e5}","{E1}

С други думи, {e2} true или false? ||| {E3} {E4} {E5}","{E1}

Mit anderen Worten, {E2} wahr oder falsch? ||| {E3} {E4} {E5}","{e1}

Με άλλα λόγια, {E2} TRUE ή FALSE; ||| {E3} {E4} {E5}","{e1}

En otras palabras, {E2} Verdadero o Falso? ||| {E3} {E4} {E5}","{e1}

En d'autres termes, {E2} vrai ou faux? ||| {E3} {E4} {E5}","{e1}

दूसरे शब्दों में, {e2} सही या गलत? ||| {e3} {e4} {e5}","{E1}

Другими словами, {e2} true или false? ||| {E3} {E4} {E5}","{e1}

Kwa maneno mengine, {e2} kweli au uongo? |||. {e3} {e4} {e5}","{e1}

กล่าวอีกนัยหนึ่ง {e2} จริงหรือเท็จ? ||| {e3} {e4} {e5}","{e1}

Başka bir deyişle, {e2} doğru mu yanlış mı? ||| {e3} {e4} {e5}","{E1}

دوسرے الفاظ میں، {E2} سچ یا غلط؟ |||| {e3} {e4} {e5}","{e1}

Nói cách khác, {e2} đúng hay sai? || {e3} {e4} {e5}","{e1}

换句话说，{e2}真或假？ |||| {e3} {e4} {e5}"
super_glue - wsc.fixed - p is/are r,"Context: {e1} 

{e2}
Question: ""{e3}"" are {e4}. True or false?
{e5}
Question: ""{e6}"" is {e7}. True or false?
{e8}

Answer: ||| {e9}{e10}{e11}","السياق: {E1}

{e2}
سؤال: ""{e3}"" هي {e4}. صحيحة أو خاطئة؟
{e5}
سؤال: ""{e6}"" هو {e7}. صحيحة أو خاطئة؟
{e8}

الجواب: ||| {e9} {e10} {E11}","Контекст: {E1}

{E2}
Въпрос: ""{E3}"" са {E4}. Истина или лъжа?
{E5}
Въпрос: ""{E6}"" е {E7}. Истина или лъжа?
{E8}

Отговор: ||| {E9} {E10} {E11}","Kontext: {E1}

{E2}
Frage: ""{E3}"" sind {E4}. Richtig oder falsch?
{E5}
Frage: ""{E6}"" ist {E7}. Richtig oder falsch?
{E8}

Antwort: |||. {E9} {E10} {E11}","Πλαίσιο: {E1}

{e2}
Ερώτηση: ""{e3}"" είναι {e4}. Σωστό ή λάθος?
{e5}
Ερώτηση: ""{E6}"" είναι {E7}. Σωστό ή λάθος?
{e8}

Απάντηση: ||| {E9} {E10} {E11}","Contexto: {E1}

{E2}
Pregunta: ""{E3}"" son {E4}. ¿Verdadero o falso?
{E5}
Pregunta: ""{E6}"" es {E7}. ¿Verdadero o falso?
{e8}

Respuesta: ||| {e9} {e10} {e11}","Contexte: {E1}

{e2}
Question: ""{e3}"" sont {E4}. Vrai ou faux?
{e5}
Question: ""{E6}"" est {E7}. Vrai ou faux?
{E8}

Réponse: ||| {E9} {E10} {E11}","संदर्भ: {e1}

{e2}
प्रश्न: ""{e3}"" {e4} हैं। सही या गलत?
{e5}
प्रश्न: ""{e6}"" {e7} है। सही या गलत?
{e8}

उत्तर: ||| {E9} {E10} {E11}","Контекст: {E1}

{e2}
Вопрос: «{E3}» - {E4}. Правда или ложь?
{e5}
Вопрос: «{E6}» - {E7}. Правда или ложь?
{e8}

Ответ: ||| {E9} {E10} {E11}","Muktadha: {e1}

{e2}
Swali: ""{e3}"" ni {e4}. Kweli au uongo?
{e5}
Swali: ""{e6}"" ni {e7}. Kweli au uongo?
{e8}

Jibu: || {e9} {e10} {e11}","บริบท: {e1}

{e2}
คำถาม: ""{e3}"" เป็น {e4} จริงหรือเท็จ?
{e5}
คำถาม: ""{e6}"" คือ {e7} จริงหรือเท็จ?
{e8}

คำตอบ: ||| {e9} {e10} {e11}","Bağlam: {e1}

{e2}
Soru: ""{e3}"" {E4}. Doğru ya da yanlış?
{e5}
Soru: ""{e6}"" {e7}. Doğru ya da yanlış?
{e8}

Cevap: ||| {e9} {e10} {e11}","سیاحت: {E1}

{e2}
سوال: ""{e3}"" {e4} ہیں. صحیح یا غلط؟
{e5}
سوال: ""{E6}"" {E7} ہے. صحیح یا غلط؟
{e8}

جواب: ||| {E9} {e10} {e11}","Bối cảnh: {E1}

{e2}
Câu hỏi: ""{E3}"" là {E4}. Đúng hay sai?
{E5}
Câu hỏi: ""{E6}"" là {E7}. Đúng hay sai?
{e8}

Trả lời: |||. {e9} {e10} {e11}","背景：{E1}

{E2}
问题：“{e3}”是{e4}。对或错？
{E5}
问题：“{e6}”是{e7}。对或错？
{E8}

答案：||| {e9} {e10} {e11}"
super_glue - wsc.fixed - replaced with,"{e1} In the previous sentence, can the pronoun ""{e2}"" be replaced with ""{e3}""? Yes or no? ||| {e4}{e5}{e6}","{e1} في الجملة السابقة، هل يمكن استبدال الضمير ""{e2}"" ب ""{e3}""؟ نعم أو لا؟ ||| {e4} {e5} {e6}","{e1} в предишното изречение, може ли местоимението ""{e2}"" да бъде заменено с ""{e3}""? Да или не? ||| {E4} {E5} {E6}","{E1} Im vorherigen Satz kann das Pronomen ""{E2}"" durch ""{E3}"" ersetzt werden? Ja oder nein? ||| {E4} {E5} {E6}","{E1} Στην προηγούμενη πρόταση, μπορεί να αντικατασταθεί η αντωνυμία ""{e2}"" με το ""{e3}""; Ναι ή όχι? ||| {E4} {E5} {E6}","{E1} En la oración anterior, ¿puede reemplazarse el pronombre ""{E2}"" con ""{E3}""? ¿Sí o no? ||| {E4} {E5} {E6}","{E1} Dans la phrase précédente, le pronom ""{E2}"" peut-il être remplacé par ""{e3}""? Oui ou non? ||| {E4} {E5} {E6}","{e1} पिछले वाक्य में, सर्वनाम ""{e2}"" को ""{e3}"" के साथ प्रतिस्थापित किया जा सकता है? हां या नहीं? ||| {e4} {e5} {e6}",{E1} В предыдущем предложении может быть заменен местоимение «{E2}» на «{E3}»? Да или нет? ||| {E4} {E5} {E6},"{e1} Katika sentensi ya awali, pronoun ""{e2}"" kubadilishwa na ""{e3}""? Ndio au hapana? |||. {e4} {e5} {e6}","{e1} ในประโยคก่อนหน้านี้สรรพนาม ""{e2}"" จะถูกแทนที่ด้วย ""{e3}""? ใช่หรือไม่? ||| {e4} {e5} {e6}","{e1} Önceki cümlede, ""{e2}"" zamirinin ""{e3}"" ile değiştirilebilir mi? Evet veya Hayır? ||| {e4} {e5} {e6}","{E1} پچھلے سزا میں، ""{e2}"" کے ساتھ تبدیل کیا جاسکتا ہے ""{E2}""؟ ہاں یا نہیں؟ |||| {E4} {e5} {e6}","{E1} Trong câu trước, đại từ ""{E2}"" có thể được thay thế bằng ""{E3}"" không? Có hay không? || {e4} {e5} {e6}",{e1}在上一句话中，代词“{e2}”可以用“{e3}”替换？是还是不是？ |||| {e4} {e5} {e6}
super_glue - wsc.fixed - the pronoun refers to,"{e1} 
In the passage above, the pronoun ""{e2}"" refers to {e3}. True or false? ||| {e4}{e5}{e6}","{e1}
في المقطع أعلاه، يشير الضمير ""{e2}"" إلى {e3}. صحيحة أو خاطئة؟ ||| {e4} {e5} {e6}","{E1}
В пасажа по-горе, местоимението ""{E2}"" се отнася до {E3}. Истина или лъжа? ||| {E4} {E5} {E6}","{E1}
In der Passage oben bezieht sich das Pronomen ""{E2}"" auf {E3}. Richtig oder falsch? ||| {E4} {E5} {E6}","{e1}
Στο παραπάνω απόσπασμα, η αντωνυμία ""{e2}"" αναφέρεται στο {E3}. Σωστό ή λάθος? ||| {E4} {E5} {E6}","{e1}
En el pasaje anterior, el pronombre ""{E2}"" se refiere a {E3}. ¿Verdadero o falso? ||| {E4} {E5} {E6}","{e1}
Dans le passage ci-dessus, le pronom ""{E2}"" fait référence à {E3}. Vrai ou faux? ||| {E4} {E5} {E6}","{e1}
उपरोक्त पारित होने में, सर्वनाम ""{e2}"" {e3} को संदर्भित करता है। सही या गलत? ||| {e4} {e5} {e6}","{E1}
В приведенном выше проходе местоимение «{E2}» относится к {E3}. Правда или ложь? ||| {E4} {E5} {E6}","{e1}
Katika kifungu hapo juu, mtamshi ""{e2}"" inahusu {e3}. Kweli au uongo? |||. {e4} {e5} {e6}","{e1}
ในเนื้อเรื่องข้างต้นคำสรรพนาม ""{e2}"" หมายถึง {e3} จริงหรือเท็จ? ||| {e4} {e5} {e6}","{e1}
Yukarıdaki pasajda, ""{e2}"" zamirinin {E3} anlamına gelir. Doğru ya da yanlış? ||| {e4} {e5} {e6}","{E1}
مندرجہ بالا گزرنے میں، Pronoun ""{E2}"" {e3} سے مراد ہے. صحیح یا غلط؟ |||| {E4} {e5} {e6}","{e1}
Trong đoạn văn trên, đại từ ""{E2}"" đề cập đến {E3}. Đúng hay sai? || {e4} {e5} {e6}","{e1}
在上面的函数中，代词“{e2}”是指{e3}。对或错？ |||| {e4} {e5} {e6}"
